date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:45	21366/21366	---M--	200	added ('OK')	text/html	etag:%221727a39d679.ef710cbcd4c3a164f186623a183abbf9%22	https://gpshiva.mobirisesite.com/home.html	C:/My%20Web%20Sites/ds/gpshiva.mobirisesite.com/home.html	(from )
01:00:46	207/207	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Oct%202020%2019:30:47%20GMT	https://gpshiva.mobirisesite.com/robots.txt		(from )
01:00:47	12717/12717	---M--	200	added ('OK')	image/png	etag:%2251e37be1953fd7f3082afbf061969d98%22	https://r.mobirisesite.com/83911/assets/images/16f599e4-bf49-4049-b178-1689ea00c055-200x200.png?v=1KwpcL	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/images/16f599e4-bf49-4049-b178-1689ea00c055-200x2002cd8.png	(from https://gpshiva.mobirisesite.com/home.html)
01:00:48	8719/8719	---MCZ	200	added ('OK')	text/css	etag:W/%22de94d5403c55d82c656b75faadf1a7d3%22	https://r.mobirisesite.com/83911/assets/web/assets/mobirise-icons2/mobirise2.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/web/assets/mobirise-icons2/mobirise2.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:48	237/237	---MCZ	200	added ('OK')	text/css	etag:W/%2262155a3948cbf17b1bf4b407c90ab84f%22	https://r.mobirisesite.com/83911/assets/tether/tether.min.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/tether/tether.min.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:48	160302/160302	---MCZ	200	added ('OK')	text/css	etag:W/%22816af0eddd3b4822c2756227c7e7b7ee%22	https://r.mobirisesite.com/83911/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/bootstrap/css/bootstrap.min.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:48	50636/50636	---MCZ	200	added ('OK')	text/css	etag:W/%22669404687b63e2bb1d1830bdc0365d7e%22	https://r.mobirisesite.com/83911/assets/bootstrap/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/bootstrap/css/bootstrap-grid.min.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:49	3903/3903	---MCZ	200	added ('OK')	text/css	etag:W/%2278c67048b56f66e7702c7f718868f9d3%22	https://r.mobirisesite.com/83911/assets/bootstrap/css/bootstrap-reboot.min.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:49	95363/95363	---MCZ	200	added ('OK')	text/css	etag:W/%227e3aee23f9eb7741ce01e5a7e5420225%22	https://r.mobirisesite.com/83911/assets/animatecss/animate.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/animatecss/animate.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:49	7982/7982	---MCZ	200	added ('OK')	text/css	etag:W/%22b3e4bc9550bad8fd01585b601e968d14%22	https://r.mobirisesite.com/83911/assets/dropdown/css/style.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/dropdown/css/style.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:49	891/891	---MCZ	200	added ('OK')	text/css	etag:W/%22ead7933ecee86f10df615251b1e55ea2%22	https://r.mobirisesite.com/83911/assets/as-pie-progress/css/progress.min.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/as-pie-progress/css/progress.min.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:49	15507/15507	---MCZ	200	added ('OK')	text/css	etag:W/%22abdd5a649d383b9af32359c93bd3d11f%22	https://r.mobirisesite.com/83911/assets/socicon/css/styles.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/socicon/css/styles.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:50	17026/17026	---MCZ	200	added ('OK')	text/css	etag:W/%224b835aeefa7ea25e074b9f2567c72edb%22	https://r.mobirisesite.com/83911/assets/theme/css/style.css	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/theme/css/style.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:51	60036/60036	---MCZ	200	added ('OK')	text/css	etag:W/%2286af270268de0457ff27e6381e0a8cdc%22	https://r.mobirisesite.com/83911/assets/mobirise/css/mbr-additional.css?v=1KwpcL	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/mobirise/css/mbr-additional2cd8.css	(from https://gpshiva.mobirisesite.com/home.html)
01:00:51	17484/17484	---M--	200	added ('OK')	text/html	etag:%221727a39d679.5ee85ae3e2aad0fc8f3d51d6880efc63%22	https://gpshiva.mobirisesite.com/portfolio.html	C:/My%20Web%20Sites/ds/gpshiva.mobirisesite.com/portfolio.html	(from https://gpshiva.mobirisesite.com/home.html)
01:00:52	8537/8537	---M--	200	added ('OK')	text/html	etag:%221727a39d679.a9bb7d149430ba6b7776c6749d71dd7f%22	https://gpshiva.mobirisesite.com/certifications.html	C:/My%20Web%20Sites/ds/gpshiva.mobirisesite.com/certifications.html	(from https://gpshiva.mobirisesite.com/home.html)
01:00:52	8568/8568	---M--	200	added ('OK')	text/html	etag:%221727a39d679.b646da84eef2b6343d1f35f0886b4001%22	https://gpshiva.mobirisesite.com/aboutme.html	C:/My%20Web%20Sites/ds/gpshiva.mobirisesite.com/aboutme.html	(from https://gpshiva.mobirisesite.com/home.html)
01:00:55	422407/422407	---M--	200	added ('OK')	image/jpeg	etag:%22287fb346c66d6f8cf59ddc168af9dbf7%22	https://r.mobirisesite.com/83911/assets/images/img-20191009.jpeg?v=1KwpcL	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/images/img-201910092cd8.jpg	(from https://gpshiva.mobirisesite.com/home.html)
01:00:55	89693/89693	---M--	200	added ('OK')	image/jpeg	etag:%22b00c737874c4c706baa948d8a27218ab%22	https://r.mobirisesite.com/83911/assets/images/marketing-funnel-copy.jpg?v=1KwpcL	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/images/marketing-funnel-copy2cd8.jpg	(from https://gpshiva.mobirisesite.com/home.html)
01:00:57	54105/54105	---M--	200	added ('OK')	image/png	etag:%221cb37a171957af30ed60dd0a025a26e0%22	https://r.mobirisesite.com/83911/assets/images/0-rgsfrsmjiqeg5jof.png?v=1KwpcL	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/images/0-rgsfrsmjiqeg5jof2cd8.png	(from https://gpshiva.mobirisesite.com/home.html)
01:00:57	36956/36956	---M--	200	added ('OK')	image/jpeg	etag:%2294976052da06a4bf89ed4627c095674e%22	https://r.mobirisesite.com/83911/assets/images/1-uc0sy0benl-dlpy3jmxnag.jpeg?v=1KwpcL	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/images/1-uc0sy0benl-dlpy3jmxnag2cd8.jpg	(from https://gpshiva.mobirisesite.com/home.html)
01:00:58	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://r.mobirisesite.com/83911/assets/web/assets/jquery/jquery.min.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/web/assets/jquery/jquery.min.js	(from https://gpshiva.mobirisesite.com/home.html)
01:00:58	3657071/3657071	---M--	200	added ('OK')	image/jpeg	etag:%2238b875e4a0cdd5b453f7751c7c7e28bc%22	https://r.mobirisesite.com/83911/assets/images/clustering-algorithms-in-machine-learning.jpg?v=1KwpcL	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/images/clustering-algorithms-in-machine-learning2cd8.jpg	(from https://gpshiva.mobirisesite.com/home.html)
01:00:58	18994/18994	---MCZ	200	added ('OK')	application/javascript	etag:W/%223621381129597bf34d48a9e2623e05c9%22	https://r.mobirisesite.com/83911/assets/popper/popper.min.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/popper/popper.min.js	(from https://gpshiva.mobirisesite.com/home.html)
01:00:58	23217/23217	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e50b6f75ff4128f2478b1d44f80fdfb%22	https://r.mobirisesite.com/83911/assets/tether/tether.min.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/tether/tether.min.js	(from https://gpshiva.mobirisesite.com/home.html)
01:00:58	60044/60044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202d223393e00c273efdcb1ade8f4f8b1%22	https://r.mobirisesite.com/83911/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/bootstrap/js/bootstrap.min.js	(from https://gpshiva.mobirisesite.com/home.html)
01:00:58	7568/7568	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b5e7e71c2c87966f6037658228b4f6b%22	https://r.mobirisesite.com/83911/assets/smoothscroll/smooth-scroll.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/smoothscroll/smooth-scroll.js	(from https://gpshiva.mobirisesite.com/home.html)
01:00:59	2877/2877	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dadda4331806534deddbc47e1ade3231%22	https://r.mobirisesite.com/83911/assets/viewportchecker/jquery.viewportchecker.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/viewportchecker/jquery.viewportchecker.js	(from https://gpshiva.mobirisesite.com/home.html)
01:00:59	9027/9027	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f9a6ae1628b4678a177b21556442426%22	https://r.mobirisesite.com/83911/assets/dropdown/js/nav-dropdown.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/dropdown/js/nav-dropdown.js	(from https://gpshiva.mobirisesite.com/home.html)
01:00:59	2646/2646	---MCZ	200	added ('OK')	application/javascript	etag:W/%224495c7ff7e3539aedcb2f8f8a464437d%22	https://r.mobirisesite.com/83911/assets/dropdown/js/navbar-dropdown.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/dropdown/js/navbar-dropdown.js	(from https://gpshiva.mobirisesite.com/home.html)
01:00:59	20412/20412	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f60ff05469d1757996d85f4172d4ff4d%22	https://r.mobirisesite.com/83911/assets/touchswipe/jquery.touch-swipe.min.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/touchswipe/jquery.touch-swipe.min.js	(from https://gpshiva.mobirisesite.com/home.html)
01:01:00	9826/9826	---MCZ	200	added ('OK')	application/javascript	etag:W/%22474c10f3e56c447a8c835d2fab81b013%22	https://r.mobirisesite.com/83911/assets/as-pie-progress/jquery-as-pie-progress.min.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/as-pie-progress/jquery-as-pie-progress.min.js	(from https://gpshiva.mobirisesite.com/home.html)
01:01:00	21584/21584	---MCZ	200	added ('OK')	application/javascript	etag:W/%22091efab58c4d011bad6b425612ed7ef5%22	https://r.mobirisesite.com/83911/assets/theme/js/script.js	C:/My%20Web%20Sites/ds/r.mobirisesite.com/83911/assets/theme/js/script.js	(from https://gpshiva.mobirisesite.com/home.html)
